Date,Open,High,Low,Close,Adj. Close,Volume
2018-02-27,2780.45,2789.15,2744.22,2744.28,2744.28,3752070000
2018-02-26,2757.37,2780.64,2753.78,2779.60,2779.60,3436590000
2018-02-23,2715.80,2747.76,2713.74,2747.30,2747.30,3200360000
2018-02-22,2710.42,2731.26,2697.77,2703.96,2703.96,3720620000
2018-02-21,2720.53,2747.75,2701.29,2701.33,2701.33,3789040000
2018-02-20,2722.99,2737.60,2706.76,2716.26,2716.26,3646920000
2018-02-16,2727.14,2754.42,2725.11,2732.22,2732.22,3646920000
2018-02-15,2713.46,2731.51,2689.82,2731.20,2731.20,3696140000
2018-02-14,2651.21,2702.10,2648.87,2698.63,2698.63,4011940000
2018-02-13,2646.27,2668.84,2637.08,2662.94,2662.94,3503540000
2018-02-12,2636.75,2672.61,2622.45,2656.00,2656.00,4069220000
2018-02-09,2601.78,2638.67,2532.69,2619.55,2619.55,5690110000
2018-02-08,2685.01,2685.27,2580.56,2581.00,2581.00,5333840000
2018-02-07,2690.95,2727.67,2681.33,2681.66,2681.66,4646300000
2018-02-06,2614.78,2701.04,2593.07,2695.14,2695.14,5917350000
2018-02-05,2741.06,2763.39,2638.17,2648.94,2648.94,5310840000
2018-02-02,2808.92,2808.92,2759.97,2762.13,2762.13,4340220000
2018-02-01,2816.45,2835.96,2812.70,2821.98,2821.98,3977380000
2018-01-31,2832.41,2839.26,2813.04,2823.81,2823.81,4276270000
2018-01-30,2832.74,2837.75,2818.27,2822.43,2822.43,4012070000
2018-01-29,2867.23,2870.62,2851.48,2853.53,2853.53,3587420000
2018-01-26,2847.48,2872.87,2846.18,2872.87,2872.87,3474680000
2018-01-25,2846.24,2848.56,2830.94,2839.25,2839.25,3873100000
2018-01-24,2845.42,2852.97,2824.81,2837.54,2837.54,4079270000
2018-01-23,2835.05,2842.24,2830.59,2839.13,2839.13,3541140000
2018-01-22,2809.16,2833.03,2808.12,2832.97,2832.97,3489480000
2018-01-19,2802.60,2810.33,2798.08,2810.30,2810.30,3724230000
2018-01-18,2802.40,2805.83,2792.56,2798.03,2798.03,3703300000
2018-01-17,2784.99,2807.04,2778.38,2802.56,2802.56,3790340000
2018-01-16,2798.96,2807.54,2768.64,2776.42,2776.42,4362880000
2018-01-12,2770.18,2787.85,2769.64,2786.24,2786.24,3587220000
2018-01-11,2752.97,2767.56,2752.78,2767.56,2767.56,3645690000
2018-01-10,2745.55,2750.80,2736.06,2748.23,2748.23,3579900000
2018-01-09,2751.15,2759.14,2747.86,2751.29,2751.29,3467460000
2018-01-08,2742.67,2748.51,2737.60,2747.71,2747.71,3246160000
2018-01-05,2731.33,2743.45,2727.92,2743.15,2743.15,3239280000
2018-01-04,2719.31,2729.29,2719.07,2723.99,2723.99,3697340000
2018-01-03,2697.85,2714.37,2697.77,2713.06,2713.06,3544030000
2018-01-02,2683.73,2695.89,2682.36,2695.81,2695.81,3397430000
2017-12-29,2689.15,2692.12,2673.61,2673.61,2673.61,2447760000
2017-12-28,2686.10,2687.66,2682.69,2687.54,2687.54,2174890000
2017-12-27,2682.10,2685.64,2678.91,2682.62,2682.62,2202900000
2017-12-26,2679.09,2682.74,2677.96,2680.50,2680.50,1970660000
2017-12-22,2684.22,2685.35,2678.13,2683.34,2683.34,2401030000
2017-12-21,2683.02,2692.64,2682.40,2684.57,2684.57,3293130000
2017-12-20,2688.18,2691.01,2676.11,2679.25,2679.25,3246230000
2017-12-19,2692.71,2694.44,2680.74,2681.47,2681.47,3407680000
2017-12-18,2685.92,2694.97,2685.92,2690.16,2690.16,3727770000
2017-12-15,2660.63,2679.63,2659.14,2675.81,2675.81,5736910000
2017-12-14,2665.87,2668.09,2652.01,2652.01,2652.01,3442760000
2017-12-13,2667.59,2671.88,2662.85,2662.85,2662.85,3568360000
2017-12-12,2661.73,2669.72,2659.78,2664.11,2664.11,3568910000
2017-12-11,2652.19,2660.33,2651.47,2659.99,2659.99,3141480000
2017-12-08,2646.21,2651.65,2644.10,2651.50,2651.50,3126750000
2017-12-07,2628.38,2640.99,2626.53,2636.98,2636.98,3297060000
2017-12-06,2626.24,2634.41,2624.75,2629.27,2629.27,3253080000
2017-12-05,2639.78,2648.72,2627.73,2629.57,2629.57,3547570000
2017-12-04,2657.19,2665.19,2639.03,2639.44,2639.44,4025840000
2017-12-01,2645.10,2650.62,2605.52,2642.22,2642.22,3950930000
2017-11-30,2633.93,2657.74,2633.93,2647.58,2647.58,4965700000
2017-11-29,2627.82,2634.89,2620.32,2626.07,2626.07,4090630000
2017-11-28,2605.94,2627.69,2605.44,2627.04,2627.04,3493340000
2017-11-27,2602.66,2606.41,2598.87,2601.42,2601.42,3017720000
2017-11-24,2600.42,2604.21,2600.42,2602.42,2602.42,1385890000
2017-11-22,2600.31,2600.94,2595.23,2597.08,2597.08,2764110000
2017-11-21,2589.17,2601.19,2589.17,2599.03,2599.03,3351230000
2017-11-20,2579.49,2584.64,2578.24,2582.14,2582.14,3023940000
2017-11-17,2582.94,2583.96,2577.62,2578.85,2578.85,3309800000
2017-11-16,2572.95,2590.09,2572.95,2585.64,2585.64,3329730000
2017-11-15,2569.45,2572.84,2557.45,2564.62,2564.62,3586590000
2017-11-14,2577.75,2579.66,2566.56,2578.87,2578.87,3643580000
2017-11-13,2576.53,2587.66,2574.48,2584.84,2584.84,3405200000
2017-11-10,2580.18,2583.81,2575.57,2582.30,2582.30,3489740000
2017-11-09,2584.00,2586.50,2566.33,2584.62,2584.62,3844100000
2017-11-08,2588.71,2595.47,2585.02,2594.38,2594.38,3898450000
2017-11-07,2592.11,2597.02,2584.35,2590.64,2590.64,3815190000
2017-11-06,2587.47,2593.38,2585.66,2591.13,2591.13,3541970000
2017-11-03,2581.93,2588.42,2576.77,2587.84,2587.84,3568710000
2017-11-02,2579.46,2581.11,2566.17,2579.85,2579.85,4050140000
2017-11-01,2583.21,2588.40,2574.92,2579.36,2579.36,3841200000
2017-10-31,2575.99,2578.29,2572.15,2575.26,2575.26,3844420000
2017-10-30,2577.75,2580.03,2568.25,2572.83,2572.83,3660230000
2017-10-27,2570.26,2582.98,2565.94,2581.07,2581.07,3896100000
2017-10-26,2560.08,2567.07,2559.80,2560.40,2560.40,3891750000
2017-10-25,2566.52,2567.40,2544.00,2557.15,2557.15,3885470000
2017-10-24,2568.66,2572.18,2565.58,2569.13,2569.13,3435660000
2017-10-23,2578.08,2578.29,2564.33,2564.98,2564.98,3214470000
2017-10-20,2567.56,2575.44,2567.56,2575.21,2575.21,3394450000
2017-10-19,2553.39,2562.36,2547.92,2562.10,2562.10,3019520000
2017-10-18,2562.87,2564.11,2559.67,2561.26,2561.26,2999320000
2017-10-17,2557.17,2559.71,2554.69,2559.36,2559.36,2901890000
2017-10-16,2555.57,2559.47,2552.64,2557.64,2557.64,2918030000
2017-10-13,2555.66,2557.65,2552.09,2553.17,2553.17,3150470000
2017-10-12,2552.88,2555.33,2548.31,2550.93,2550.93,3157280000
2017-10-11,2550.62,2555.24,2547.95,2555.24,2555.24,2991320000
2017-10-10,2549.99,2555.23,2544.86,2550.64,2550.64,2962610000
2017-10-09,2551.39,2551.82,2541.60,2544.73,2544.73,2486940000
2017-10-06,2547.44,2549.41,2543.79,2549.33,2549.33,2898270000
2017-10-05,2540.86,2552.51,2540.02,2552.07,2552.07,3059730000
2017-10-04,2533.48,2540.53,2531.80,2537.74,2537.74,3020770000
2017-10-03,2530.34,2535.13,2528.85,2534.58,2534.58,3073480000
2017-10-02,2521.20,2529.23,2520.40,2529.12,2529.12,3226370000
2017-09-29,2509.96,2519.44,2507.99,2519.36,2519.36,3220260000
2017-09-28,2503.41,2510.81,2502.93,2510.06,2510.06,3173030000
2017-09-27,2503.30,2511.75,2495.91,2507.04,2507.04,3485070000
2017-09-26,2501.04,2503.51,2495.12,2496.84,2496.84,3070770000
2017-09-25,2499.39,2502.54,2488.03,2496.66,2496.66,3314530000
2017-09-22,2497.26,2503.47,2496.54,2502.22,2502.22,2877980000
2017-09-21,2507.16,2507.16,2499.00,2500.60,2500.60,2965590000
2017-09-20,2506.84,2508.85,2496.67,2508.24,2508.24,3584570000
2017-09-19,2506.29,2507.84,2503.19,2506.65,2506.65,3253760000
2017-09-18,2502.51,2508.32,2499.92,2503.87,2503.87,3204700000
2017-09-15,2495.67,2500.23,2493.16,2500.23,2500.23,4862970000
2017-09-14,2494.56,2498.43,2491.35,2495.62,2495.62,3422470000
2017-09-13,2493.89,2498.37,2492.14,2498.37,2498.37,3371370000
2017-09-12,2491.94,2496.77,2490.37,2496.48,2496.48,3234280000
2017-09-11,2474.52,2488.95,2474.52,2488.11,2488.11,3293460000
2017-09-08,2462.25,2467.11,2459.40,2461.43,2461.43,3308360000
2017-09-07,2468.06,2468.62,2460.29,2465.10,2465.10,3365780000
2017-09-06,2463.83,2469.64,2459.20,2465.54,2465.54,3400200000
2017-09-05,2470.35,2471.97,2446.55,2457.85,2457.85,3502190000
2017-09-01,2474.42,2480.38,2473.85,2476.55,2476.55,2712780000
2017-08-31,2462.65,2475.01,2462.65,2471.65,2471.65,3353860000
2017-08-30,2446.06,2460.31,2443.77,2457.59,2457.59,2637780000
2017-08-29,2431.94,2449.19,2428.20,2446.30,2446.30,2739460000
2017-08-28,2447.35,2449.12,2439.03,2444.24,2444.24,2682920000
2017-08-25,2444.72,2453.96,2442.22,2443.05,2443.05,2593350000
2017-08-24,2447.91,2450.39,2436.19,2438.97,2438.97,2849680000
2017-08-23,2444.88,2448.91,2441.42,2444.04,2444.04,2796950000
2017-08-22,2433.75,2454.77,2433.67,2452.51,2452.51,2780990000
2017-08-21,2425.50,2430.58,2417.35,2428.37,2428.37,2803650000
2017-08-18,2427.64,2440.27,2420.69,2425.55,2425.55,3426970000
2017-08-17,2462.95,2465.02,2430.01,2430.01,2430.01,3164950000
2017-08-16,2468.63,2474.93,2463.86,2468.11,2468.11,2956570000
2017-08-15,2468.66,2468.90,2461.61,2464.61,2464.61,2922430000
2017-08-14,2454.96,2468.22,2454.96,2465.84,2465.84,2824320000
2017-08-11,2441.04,2448.09,2437.85,2441.32,2441.32,3161830000
2017-08-10,2465.38,2465.38,2437.75,2438.21,2438.21,3635820000
2017-08-09,2465.35,2474.41,2462.08,2474.02,2474.02,3310960000
2017-08-08,2478.35,2490.87,2470.32,2474.92,2474.92,3347480000
2017-08-07,2477.14,2480.95,2475.88,2480.91,2480.91,2935130000
2017-08-04,2476.88,2480.00,2472.08,2476.83,2476.83,3239980000
2017-08-03,2476.03,2476.03,2468.85,2472.16,2472.16,3662410000
2017-08-02,2480.38,2480.38,2466.48,2477.57,2477.57,3487150000
2017-08-01,2477.10,2478.51,2471.14,2476.35,2476.35,3470260000
2017-07-31,2475.94,2477.96,2468.53,2470.30,2470.30,3475930000
2017-07-28,2469.12,2473.53,2464.66,2472.10,2472.10,3302850000
2017-07-27,2482.76,2484.04,2459.93,2475.42,2475.42,4035740000
2017-07-26,2479.97,2481.69,2474.94,2477.83,2477.83,3597830000
2017-07-25,2477.88,2481.24,2474.91,2477.13,2477.13,4116360000
2017-07-24,2472.04,2473.10,2466.32,2469.91,2469.91,3019920000
2017-07-21,2467.40,2472.54,2465.06,2472.54,2472.54,3066880000
2017-07-20,2475.56,2477.62,2468.43,2473.45,2473.45,3223820000
2017-07-19,2463.85,2473.83,2463.85,2473.83,2473.83,3063810000
2017-07-18,2455.88,2460.92,2450.34,2460.61,2460.61,2974090000
2017-07-17,2459.50,2462.82,2457.16,2459.14,2459.14,2800580000
2017-07-14,2449.16,2463.54,2446.69,2459.27,2459.27,2738460000
2017-07-13,2444.99,2449.32,2441.69,2447.83,2447.83,3068510000
2017-07-12,2435.75,2445.76,2435.75,2443.25,2443.25,3176900000
2017-07-11,2427.35,2429.30,2412.79,2425.53,2425.53,3108800000
2017-07-10,2424.51,2432.00,2422.27,2427.43,2427.43,3009880000
2017-07-07,2413.52,2426.92,2413.52,2425.18,2425.18,2929390000
2017-07-06,2423.44,2424.28,2407.70,2409.75,2409.75,3368710000
2017-07-05,2430.78,2434.90,2422.05,2432.54,2432.54,3368150000
2017-07-03,2431.39,2439.17,2428.69,2429.01,2429.01,1901480000
2017-06-30,2429.20,2432.71,2421.65,2423.41,2423.41,3366030000
2017-06-29,2442.38,2442.73,2405.70,2419.70,2419.70,3869560000
2017-06-28,2428.70,2442.97,2428.02,2440.69,2440.69,3479980000
2017-06-27,2436.34,2440.15,2419.38,2419.38,2419.38,3564770000
2017-06-26,2443.32,2450.42,2437.03,2439.07,2439.07,3243660000
2017-06-23,2434.65,2441.40,2431.11,2438.30,2438.30,5282460000
2017-06-22,2437.40,2441.62,2433.27,2434.50,2434.50,3477250000
2017-06-21,2439.31,2442.23,2430.74,2435.61,2435.61,3599190000
2017-06-20,2450.66,2450.66,2436.60,2437.03,2437.03,3422700000
2017-06-19,2442.55,2453.82,2441.79,2453.46,2453.46,3271480000
2017-06-16,2431.24,2433.15,2422.88,2433.15,2433.15,5299380000
2017-06-15,2424.14,2433.95,2418.53,2432.46,2432.46,3371980000
2017-06-14,2443.75,2443.75,2428.34,2437.92,2437.92,3558640000
2017-06-13,2434.15,2441.49,2431.28,2440.35,2440.35,3278240000
2017-06-12,2425.88,2430.38,2419.97,2429.39,2429.39,4031840000
2017-06-09,2436.39,2446.20,2415.70,2431.77,2431.77,4029860000
2017-06-08,2434.27,2439.27,2427.94,2433.79,2433.79,3735980000
2017-06-07,2432.03,2435.28,2424.75,2433.14,2433.14,3576220000
2017-06-06,2431.92,2436.21,2428.12,2429.33,2429.33,3376750000
2017-06-05,2437.83,2439.55,2434.32,2436.10,2436.10,2916720000
2017-06-02,2431.28,2440.23,2427.71,2439.07,2439.07,3465500000
2017-06-01,2415.65,2430.06,2413.54,2430.06,2430.06,3860620000
2017-05-31,2415.63,2415.99,2403.59,2411.80,2411.80,4518040000
2017-05-30,2411.67,2415.26,2409.43,2412.91,2412.91,3205860000
2017-05-26,2414.50,2416.68,2412.20,2415.82,2415.82,2806930000
2017-05-25,2409.54,2418.71,2408.01,2415.07,2415.07,3538210000
2017-05-24,2401.41,2405.58,2397.99,2404.39,2404.39,3389240000
2017-05-23,2397.04,2400.85,2393.88,2398.42,2398.42,3216560000
2017-05-22,2387.21,2395.46,2386.92,2394.02,2394.02,3176580000
2017-05-19,2371.37,2389.06,2370.43,2381.73,2381.73,3831700000
2017-05-18,2354.69,2375.74,2352.72,2365.72,2365.72,4319440000
2017-05-17,2382.95,2384.87,2356.21,2357.03,2357.03,4164760000
2017-05-16,2404.55,2405.77,2396.05,2400.67,2400.67,3421810000
2017-05-15,2393.98,2404.05,2393.94,2402.32,2402.32,3490080000
2017-05-12,2392.44,2392.44,2387.19,2390.90,2390.90,3304620000
2017-05-11,2394.84,2395.72,2381.74,2394.44,2394.44,3727710000
2017-05-10,2396.79,2399.74,2392.79,2399.63,2399.63,3649370000
2017-05-09,2401.58,2403.87,2392.44,2396.92,2396.92,3657840000
2017-05-08,2399.94,2401.36,2393.92,2399.38,2399.38,3429990000
2017-05-05,2392.37,2399.29,2389.38,2399.29,2399.29,3543240000
2017-05-04,2389.79,2391.43,2380.35,2389.52,2389.52,4367860000
2017-05-03,2386.50,2389.82,2379.75,2388.13,2388.13,3896760000
